"TEXT","DISEASE","TREATMENT"
"Hyperbaric oxygen therapy for children with cerebral palsy .","['cerebral palsy']","['Hyperbaric oxygen therapy']"
"Endoscopic excision of a forehead mass .","['a forehead mass']","['Endoscopic excision']"
"Effect of photodynamic therapy in combination with mitomycin C on a mitomycin-resistant bladder cancer cell line .","['mitomycin-resistant bladder cancer']","['photodynamic therapy in combination with mitomycin C']"
"Is conservative surgery for tubal pregnancy preferable to salpingectomy ? An economic analysis .","['tubal pregnancy']","['conservative surgery', 'salpingectomy']"
"Laparoscopic cornuostomy in the treatment of interstitial pregnancy with subsequent hysterosalpingography .","['interstitial pregnancy']","['Laparoscopic cornuostomy']"
"Experimental evaluation of the use of recombinant prourokinase and its immobilized forms in the treatment of postoperative fibrinoid syndrome in ophthalmology .","['postoperative fibrinoid syndrome']","['recombinant prourokinase']"
"In vitro and in vivo comparison between the effects of treatment with adenosine triphosphate and treatment with buthionine sulfoximine on chemosensitization and tumour growth of B16 melanoma .","['B16 melanoma']","['adenosine triphosphate', 'buthionine sulfoximine']"
"Effects of transpupillary thermotherapy on immunological parameters and apoptosis in a case of primary uveal melanoma .","['primary uveal melanoma']","['transpupillary thermotherapy']"
"Is there a rational therapy for symptomatic treatment of benign prostatic hyperplasia with phytogenic drugs ? Illustrated with the example of the prostate agent from Serenoa repens ( Sabal fructus ) .","['benign prostatic hyperplasia']","['phytogenic drugs']"
"Pharmacological and clinical effectiveness of a fixed phytogenic combination trembling poplar ( Populus tremula ) , true goldenrod ( Solidago virgaurea ) and ash ( Fraxinus excelsior ) in mild to moderate rheumatic complaints .","['mild to moderate rheumatic complaints']","['fixed phytogenic combination trembling poplar ( Populus tremula ) , true goldenrod ( Solidago virgaurea ) and ash ( Fraxinus excelsior )']"
"Therapy of degenerative diseases of the musculoskeletal system with South African devil 's claw ( Harpagophytum procumbens DC ) .","['degenerative diseases of the musculoskeletal system']","[""South African devil 's claw ( Harpagophytum procumbens DC )""]"
"Treatment strategy for mucin-producing intrahepatic value of percutaneous transhepatic biliary drainage and cholangioscopy .","['mucin-producing intrahepatic cholangiocarcinoma']","['percutaneous transhepatic biliary drainage', 'cholangioscopy']"
"Strategy for surgical management of ileocolonic anastomotic recurrence in Crohn 's disease .","[""ileocolonic anastomotic recurrence in Crohn 's disease""]","['surgical management']"
"Nerve-sparing surgery for advanced rectal cancer special reference to Dukes C patients .","['advanced rectal cancer']","['Nerve-sparing surgery']"
"Prognostic factors in patients with locally advanced rectal adenocarcinoma treated with preoperative radiotherapy and surgery .","['rectal adenocarcinoma']","['preoperative radiotherapy', 'surgery']"
"Current surgical therapy for bronchiectasis .","['bronchiectasis']","['surgical therapy']"
"Thoracic surgery for hydatid disease .","['hydatid disease']","['Thoracic surgery']"
"Surgical treatment of postpneumonic empyema .","['postpneumonic empyema']","['Surgical treatment']"
"Thoracoscopic surgery for pulmonary tuberculosis .","['pulmonary tuberculosis']","['Thoracoscopic surgery']"
"Thoracoscopic surgery for spontaneous pneumothorax .","['spontaneous pneumothorax']","['Thoracoscopic surgery']"
"Surgery for chronic thromboembolic pulmonary hypertension .","['chronic thromboembolic pulmonary hypertension']","['Surgery']"
"Transabdominal extensive esophagogastric devascularization with gastroesophageal stapling for management of noncirrhotic portal long-term results .","['noncirrhotic portal hypertension']","['Transabdominal extensive esophagogastric devascularization with gastroesophageal stapling']"
"Surgical treatment for lung hydatid disease .","['lung hydatid disease']","['Surgical treatment']"
"Sliding door technique for the repair of midline incisional hernias .","['midline incisional hernias']","['Sliding door technique']"
"One-lung ventilation in patients with difficult airways .","['difficult airways']","['One-lung ventilation']"
"Thoracoscopy for empyema in children .","['empyema']","['Thoracoscopy']"
"Sex differences in the use of asthma cross sectional study .","['asthma']","['drugs']"
"Conventional treatments for non-Hodgkin 's the need for new therapies .","[""non-Hodgkin 's lymphoma""]","['Conventional treatments']"
"Adrenal-sparing surgery for phaeochromocytoma .","['phaeochromocytoma']","['Adrenal-sparing surgery']"
"Antiplatelet therapy in acute cerebral ischemia .","['acute cerebral ischemia']","['Antiplatelet therapy']"
"Laugier-Hunziker case report and treatment with the Q-switched Nd-Yag laser .","['Laugier-Hunziker syndrome']","['Q-switched Nd-Yag laser']"
"Thoracoscopic operation for secondary pneumothorax under local and epidural anesthesia in high-risk patients .","['secondary pneumothorax']","['Thoracoscopic operation']"
"Troglitazone-induced hepatic failure leading to liver transplantation .","['Troglitazone-induced hepatic failure']","['liver transplantation']"
"A modified technique of tubeless anaesthesia for microlaryngoscopy and bronchoscopy in young children with stridor .","['stridor']","['microlaryngoscopy and bronchoscopy']"
"A randomized trial of Lactobacillus acidophilus BG2FO4 to treat lactose intolerance .","['lactose intolerance']","['Lactobacillus acidophilus BG2FO4']"
"Treatment of idiopathic thrombopenic purpura in adolescents by intravenous immunoglobulin .","['idiopathic thrombopenic purpura']","['intravenous immunoglobulin']"
"Azithromycin therapy for scrub typhus during pregnancy .","['scrub typhus']","['Azithromycin therapy']"
"Excimer laser assisted in situ keratomileusis for hyperopia .","['hyperopia']","['Excimer laser assisted in situ keratomileusis']"
"Three consecutive phase II studies of recombinant interferon alfa-2a in advanced malignant melanoma .","['advanced malignant melanoma']","['recombinant interferon alfa-2a']"
"Interferon treatment of renal cell carcinoma .","['renal cell carcinoma']","['Interferon treatment']"
"Current and future uses of recombinant interferon alpha in the treatment of low-grade non-Hodgkin 's lymphoma .","[""low-grade non-Hodgkin 's lymphoma""]","['recombinant interferon alpha']"
"Antimicrobial treatment options in the management of odontogenic infections .","['odontogenic infections']","['Antimicrobial treatment']"
"Induction chemotherapy with docetaxel , cisplatin , fluorouracil , and leucovorin for squamous cell carcinoma of the head and a phase I/II trial .","['squamous cell carcinoma']","['Induction chemotherapy with docetaxel , cisplatin , fluorouracil , and leucovorin']"
"Low-dose steroids reduce flu-like symptoms at the initiation of IFNbeta-1b in relapsing-remitting MS .","['flu-like symptoms']","['Low-dose steroids']"
"Study of three different doses of epidural neostigmine coadministered with lidocaine for postoperative analgesia .","['postoperative analgesia']","['epidural neostigmine coadministered with lidocaine']"
"An active-control trial of lamotrigine monotherapy for partial seizures .","['partial seizures']","['lamotrigine monotherapy']"
"Long-term survival of patients with unresectable colorectal cancer liver metastases following infusional chemotherapy with 5-fluorouracil , leucovorin , oxaliplatin and surgery .","['unresectable colorectal cancer liver metastases']","['infusional chemotherapy with 5-fluorouracil , leucovorin , oxaliplatin and surgery']"
"A simplified laparoscopic technique for mesh placement in ventral hernia repair .","['ventral hernia']","['laparoscopic technique for mesh placement']"
"Pharmacological management of acute myocardial infarction .","['acute myocardial infarction']","['Pharmacological management']"
"Mesenteric venous successful treatment by intraarterial lytic therapy .","['Mesenteric venous thrombosis']","['intraarterial lytic therapy']"
"Gene therapy for myocardial angiogenesis .","['myocardial angiogenesis']","['Gene therapy']"
"Dipyridamole plus aspirin in cerebrovascular disease .","['cerebrovascular disease']","['Dipyridamole plus aspirin']"
"What is the real role of CD40 in cancer immunotherapy ? .","['cancer']","['immunotherapy']"
"Safety and potential effectiveness of daunorubicin-containing liposomes in patients with advanced recurrent malignant CNS tumors .","['advanced recurrent malignant CNS tumors']","['daunorubicin-containing liposomes']"
"An experimental application of gene therapy for human retinoblastoma .","['human retinoblastoma']","['gene therapy']"
"Acid suppression therapy in Barrett 's the importance of pH monitoring .","[""Barrett 's esophagus""]","['Acid suppression therapy']"
"Surgical approaches to pediatric defecatory disorders .","['pediatric defecatory disorders']","['Surgical approaches']"
"Lutein improves visual function in some patients with retinal a pilot study via the Internet .","['retinal degeneration']","['Lutein']"
"Drug information questions and new for colchicine .","['psoriasis']","['colchicine']"
"IPPB in severe pulmonary limited applications .","['severe pulmonary emphysema']","['IPPB']"
"Long-term mortality in patients after a British trial of anticoagulants in acute myocardial infarction .","['acute myocardial infarction']","['anticoagulants']"
"Our results in the surgical treatment of habitual shoulder dislocation with special reference to occupational disability .","['habitual shoulder dislocation']","['surgical treatment']"
"Alkaline phosphatase in neutrophil leukocytes of patients with infectious mononucleosis and the effect of corticosteroid therapy .","['infectious mononucleosis']","['corticosteroid therapy']"
"Surgical treatment of uterine cervix insufficiency during the 2d trimester of pregnancy .","['uterine cervix insufficiency']","['Surgical treatment']"
"Physiologic treatment of depressive a pilot study .","['depressive reactions']","['Physiologic treatment']"
"The use of quinidine sulphate for the treatment of atrial fibrillation in twelve horses .","['atrial fibrillation']","['quinidine sulphate']"
"Synergism in the chemotherapy of Eimeria infections of chicks .","['Eimeria infections']","['chemotherapy']"
"Treatment of hydrocele and cysts of the epididymis with sclerosing injections of quinine and urea chlorhydrolactate in a 30 per cent solution .","['hydrocele and cysts of the epididymis']","['sclerosing injections of quinine and urea chlorhydrolactate']"
"The single-place caisson in the treatment of decompression accidents .","['decompression accidents']","['single-place caisson']"
"Blood volume measurements in burn therapy .","['burn']","['therapy']"
"The place of surgery in hypertrophic obstructive cardiomyopathy ( idiopathic hypertrophic subaortic stenosis ) .","['hypertrophic obstructive cardiomyopathy ( idiopathic hypertrophic subaortic stenosis )']","['surgery']"
"The treatment of autoimmune hemolytic anemia with heparin .","['autoimmune hemolytic anemia']","['heparin']"
"Effects of clomiphene citrate on endometrial hyperplasia in the premenopausal female .","['endometrial hyperplasia']","['clomiphene citrate']"
"Prolonged use of methyldopa in severe hypertension in pregnancy .","['severe hypertension']","['methyldopa']"
"Glutathione S-transferase activity in epithelial ovarian association with response to chemotherapy and disease outcome .","['epithelial ovarian cancer']","['chemotherapy']"
"Interferon-alpha-2b in the management of patients with relapsed and/or refractory Hodgkin 's disease .","[""Hodgkin 's disease""]","['Interferon-alpha-2b']"
"Thalidomide for aphthous ulcers in HIV infection .","['aphthous ulcers', 'HIV infection']","['Thalidomide']"
"Aspirin therapy in diabetes mellitus .","['diabetes mellitus']","['Aspirin therapy']"
"Combined pancreas-/kidney transplantation as a standard procedure in therapy of kidney failure in type I diabetic patients .","['kidney failure in type I diabetic patients']","['Combined pancreas-/kidney transplantation']"
"Corticosteroid injections for sciatica .","['sciatica']","['Corticosteroid injections']"
"Flutamide plus castration in patients with previously untreated prostate cancer .","['prostate cancer']","['Flutamide plus castration']"
"The immediate effectiveness of electrical nerve stimulation and electrical muscle stimulation on myofascial trigger points .","['myofascial trigger points']","['electrical nerve stimulation', 'electrical muscle stimulation']"
"In vitro radiation-induced apoptosis and tumour response to a prospective study in patients with non-Hodgkin lymphomas treated by low-dose irradiation .","['non-Hodgkin lymphomas']","['radiotherapy', 'low-dose irradiation']"
"Drug therapy for coronary heart the Sheffield table .","['coronary heart disease']","['Drug therapy']"
"Percutaneous drainage of hydatid cysts .","['hydatid cysts']","['Percutaneous drainage']"
"Surgery for ectopia lentis .","['ectopia lentis']","['Surgery']"
"High-dose chemotherapy with autologous hematopoietic stem-cell support for breast cancer in North America .","['breast cancer']","['High-dose chemotherapy with autologous hematopoietic stem-cell support']"
"Is concomitant radiotherapy and chemotherapy superior to optimal radiotherapy alone in anal cancer ? .","['anal cancer']","['concomitant radiotherapy and chemotherapy', 'radiotherapy']"
"Standard versus high-dose therapy in 10+ breast cancer .","['breast cancer']","['Standard versus high-dose therapy']"
"Anal continence after surgery for rectal prolapse .","['rectal prolapse']","['surgery']"
"Aspirin therapy for cardiovascular disease .","['cardiovascular disease']","['Aspirin therapy']"
"Dosing of amoxicillin/clavulanate for treatment of lower respiratory tract infection .","['lower respiratory tract infection']","['amoxicillin/clavulanate']"
"Pharmacoeconomic analysis of ampicillin-sulbactam versus cefoxitin in the treatment of intraabdominal infections .","['intraabdominal infections']","['ampicillin-sulbactam', 'cefoxitin']"
"New therapies for severe meningococcal disease .","['severe meningococcal disease']","['New therapies']"
"Another potential use of troglitazone in noninsulin-dependent diabetes mellitus .","['noninsulin-dependent diabetes mellitus']","['troglitazone']"
"Evaluation of adjuvant psychological therapy in patients with testicular randomised controlled trial .","['testicular cancer']","['adjuvant psychological therapy']"
"Guidelines for the use of antiretroviral agents in HIV -infected adults and adolescents .","['HIV']","['antiretroviral agents']"
"Long-term therapy with long-acting octreotide ( Sandostatin-LAR ) for the management of acromegaly .","['acromegaly']","['long-acting octreotide ( Sandostatin-LAR )']"
"Are ABVD and MOPP/ABV truly equivalent for treating Hodgkin 's disease at advanced stages ? .","[""Hodgkin 's disease""]","['ABVD', 'MOPP/ABV']"
"Paclitaxel for the treatment of lymphoma .","['lymphoma']","['Paclitaxel']"
"Montelukast , a leukotriene-receptor antagonist , for the treatment of mild asthma and exercise-induced bronchoconstriction .","['mild asthma and exercise-induced bronchoconstriction']","['Montelukast , a leukotriene-receptor antagonist ,']"
"Atypical antipsychotic agents in the treatment of Schizophrenia and other psychiatric disorders .","['Schizophrenia and other psychiatric disorders']","['antipsychotic agents']"
"Percutaneous transluminal angioplasty in the treatment of renovascular sequential prospective study .","['renovascular hypertension']","['Percutaneous transluminal angioplasty']"
"Esophageal intubation for palliative treatment in advanced carcinoma of the esophagus and cardia .","['advanced carcinoma of the esophagus and cardia']","['Esophageal intubation']"
"Pathological staging and biochemical recurrence after neoadjuvant androgen deprivation therapy in combination with radical prostatectomy in clinically localized prostate cancer .","['prostate cancer']","['neoadjuvant androgen deprivation therapy', 'radical prostatectomy']"
"How often does surgery for peptic ulceration eradicate Helicobacter pylori ? Systematic review of 36 studies .","['peptic ulceration']","['surgery']"
"A comparison of noninvasive positive-pressure ventilation and conventional mechanical ventilation in patients with acute respiratory failure .","['acute respiratory failure']","['noninvasive positive-pressure ventilation', 'conventional mechanical ventilation']"
"Long-term safety and effectiveness of iron-chelation therapy with deferiprone for thalassemia major .","['thalassemia major']","['iron-chelation therapy with deferiprone']"
"Positron emission tomography in assessing response to neoadjuvant chemotherapy for non-small-cell lung cancer .","['non-small-cell lung cancer']","['neoadjuvant chemotherapy']"
"Reconstruction of thoracic wall defects after tumor resection using a polytetrafluoroethylene soft tissue ( Gore-Tex ) patch .","['tumor']","['resection']"
"A comparison of rectal diazepam gel and placebo for acute repetitive seizures .","['acute repetitive seizures']","['rectal diazepam gel']"
"Effect of long-term salmeterol treatment on exercise-induced asthma .","['exercise-induced asthma']","['salmeterol treatment']"
"Randomized trial of intensive cyclophosphamide , epirubicin , and fluorouracil chemotherapy compared with cyclophosphamide , methotrexate , and fluorouracil in premenopausal women with node-positive breast cancer .","['node-positive breast cancer']","['intensive cyclophosphamide , epirubicin , and fluorouracil chemotherapy', 'cyclophosphamide , methotrexate , and fluorouracil']"
"Low-molecular-weight heparins in the treatment of venous thromboembolism .","['venous thromboembolism']","['Low-molecular-weight heparins']"
"5-year outcome of surgical resection and watchful waiting for men with moderately symptomatic benign prostatic a Department of Veterans Affairs cooperative study .","['benign prostatic hyperplasia']","['surgical resection']"
"For how long should antipsychotic medication be continued after the first psychotic episode in schizophrenics ? .","['psychotic episode in schizophrenics']","['antipsychotic medication']"
"IDA-FLAG ( idarubicin , fludarabine , cytarabine , G-CSF ) , an effective remission-induction therapy for poor-prognosis AML of childhood prior to allogeneic or autologous bone marrow experiences of a phase II trial .","['poor-prognosis AML of childhood']","['IDA-FLAG ( idarubicin , fludarabine , cytarabine , G-CSF )', 'remission-induction therapy']"
"Single or double lung transplantation for pulmonary hypertension .","['pulmonary hypertension']","['lung transplantation']"
"Interferon beta treatment for multiple sclerosis .","['multiple sclerosis']","['Interferon beta treatment']"
"Ten-year disease free survival after transperineal sonography-guided iodine-125 brachytherapy with or without 45-Gray external beam irradiation in the treatment of patients with clinically localized , low to high Gleason grade prostate carcinoma .","['Gleason grade prostate carcinoma']","['transperineal sonography-guided iodine-125 brachytherapy', '45-Gray external beam irradiation']"
"Partial or near total pancreatectomy for persistent neonatal hyperinsulinaemic the pathologist 's role .","['persistent neonatal hyperinsulinaemic hypoglycaemia']","['pancreatectomy']"
"Radical prostatectomy for prostate the perineal approach increases the risk of surgically induced positive margins and capsular incisions .","['prostate cancer']","['Radical prostatectomy']"
"Open capsulorrhaphy with suture anchors for recurrent anterior dislocation of the shoulder .","['recurrent anterior dislocation of the shoulder']","['Open capsulorrhaphy with suture anchors']"
"Intravenous immunoglobulin treatment in multiple sclerosis .","['multiple sclerosis']","['Intravenous immunoglobulin treatment']"
"Randomised trial of irinotecan versus fluorouracil by continuous infusion after fluorouracil failure in patients with metastatic colorectal cancer .","['metastatic colorectal cancer']","['irinotecan', 'fluorouracil']"
"The effectiveness of intraocular pressure reduction in the treatment of normal-tension glaucoma .","['normal-tension glaucoma']","['intraocular pressure reduction']"
"Perceived contraindications to thrombolytic treatment in acute myocardial infarction .","['acute myocardial infarction']","['thrombolytic treatment']"
"Lignocaine or bupivacaine for digital ring block .","['digital ring block']","['Lignocaine', 'bupivacaine']"
"Steroids in lateral epicondylitis .","['lateral epicondylitis']","['Steroids']"
"Steroids in De Quervain 's tenosynovitis .","[""De Quervain 's tenosynovitis""]","['Steroids']"
"Antibiotics after dog bite .","['dog bite']","['Antibiotics']"
"Immobilisation after first anterior shoulder dislocation .","['shoulder dislocation']","['Immobilisation']"
"Stereotactic radiosurgery for acoustic a Canadian perspective .","['acoustic neuroma']","['Stereotactic radiosurgery']"
"Anticytokine therapy -- a new era in the treatment of rheumatoid arthritis ? .","['rheumatoid arthritis']","['Anticytokine therapy']"
"Control of the malignant hyperpyrexic syndrome in MHS swine by dantrolene sodium .","['malignant hyperpyrexic syndrome']","['dantrolene sodium']"
"Hematopoietic stem-cell transplantation for the treatment of severe combined immunodeficiency .","['severe combined immunodeficiency']","['Hematopoietic stem-cell transplantation']"
"Low-dose clozapine for the treatment of drug-induced psychosis in Parkinson 's disease .","[""drug-induced psychosis in Parkinson 's disease""]","['Low-dose clozapine']"
"Comparing the efficacy and safety of fluoxetine and venlafaxine in outpatient depression .","['outpatient depression']","['fluoxetine', 'venlafaxine']"
"Cost-effectiveness of interferon treatment for hepatitis C .","['hepatitis C']","['interferon treatment']"
"Hyperbaric oxygen therapy for children with cerebral palsy .","['cerebral palsy']","['Hyperbaric oxygen therapy']"
"Peripheral retinal cryotherapy for postvitrectomy diabetic vitreous hemorrhage in phakic patients .","['postvitrectomy diabetic vitreous hemorrhage']","['Peripheral retinal cryotherapy']"
"Hyperbaric or normobaric oxygen for acute carbon monoxide a randomised controlled clinical trial .","['acute carbon monoxide poisoning']","['Hyperbaric or normobaric oxygen']"
"Multicentre clinical evaluation of vigabatrin ( Sabril ) in mild to moderate partial epilepsies .","['mild to moderate partial epilepsies']","['vigabatrin ( Sabril )']"
"Matrix metalloproteinase inhibitors in the treatment of cancer .","['cancer']","['Matrix metalloproteinase inhibitors']"
"High dose cyclophosphamide with a tolerable regimen suitable for dose intensification in children with solid tumors .","['solid tumors']","['cyclophosphamide', 'carboplatin']"
"Microsurgical treatment of supratentorial cavernous malformations .","['supratentorial cavernous malformations']","['Microsurgical treatment']"
"Microsurgical treatment of infratentorial malformations .","['infratentorial malformations']","['Microsurgical treatment']"
"Stereotactic radiosurgery for management of deep brain cavernous malformations .","['deep brain cavernous malformations']","['Stereotactic radiosurgery']"
"Interferon-antibodies and the breakthrough phenomenon during ribavirin/interferon-alpha combination therapy and interferon-alpha monotherapy of patients with chronic hepatitis C .","['chronic hepatitis C']","['Interferon-antibodies', 'ribavirin/interferon-alpha combination therapy', 'interferon-alpha monotherapy']"
"Treatment of Barrett esophagus with argon plasma coagulation with acid suppression -- a prospective study .","['Barrett esophagus']","['argon plasma coagulation with acid suppression']"
"Transmural drainage of pancreatic fluid collections without electrocautery using the Seldinger technique .","['pancreatic fluid collections']","['Transmural drainage']"
"Echocardiography-guided ethanol septal reduction for hypertrophic obstructive cardiomyopathy .","['hypertrophic obstructive cardiomyopathy']","['Echocardiography-guided ethanol septal reduction']"
"Alterations of monocyte function in patients with growth hormone ( GH ) effect of substitutive GH therapy .","['growth hormone ( GH ) deficiency']","['GH therapy']"
"Medical treatments for balding in men .","['balding']","['Medical treatments']"
"Carbon monoxide poisoning treated with hyperbaric metabolic acidosis as a predictor of treatment requirements .","['Carbon monoxide poisoning']","['hyperbaric oxygen']"
"Medication received by patients with depression following the acute adequacy and relation to outcome .","['depression']","['Medication']"
"Splenectomy during an option in the treatment of autoimmune thrombocytopenic purpura .","['autoimmune thrombocytopenic purpura']","['Splenectomy']"
"Melatonin treatment of sleep-wake cycle disorders in children and adolescents .","['sleep-wake cycle disorders']","['Melatonin treatment']"
"Randomized phase II study of the neurokinin 1 receptor antagonist CJ-11 , 974 in the control of cisplatin-induced emesis .","['cisplatin-induced emesis']","['neurokinin 1 receptor antagonist CJ-11 , 974']"
"Cataract surgery and its effect on intraocular pressure .","['Cataract']","['surgery']"
"The outcome of arthroscopic treatment of temporomandibular joint arthropathy .","['temporomandibular joint arthropathy']","['arthroscopic treatment']"
"Neostigmine for acute colonic pseudo-obstruction .","['acute colonic pseudo-obstruction']","['Neostigmine']"
"A comparison of botulinum toxin and nitroglycerin ointment for chronic anal fissure .","['chronic anal fissure']","['botulinum toxin', 'nitroglycerin ointment']"
"Surgical management of severe secondary peritonitis .","['severe secondary peritonitis']","['Surgical management']"
"Early surgical treatment for supratentorial intracerebral a randomized feasibility study .","['supratentorial intracerebral hemorrhage']","['Early surgical treatment']"
"Evaluation of clomipramine as an adjunct to behavioural therapy in the treatment of separation-related problems in dogs .","['separation-related problems']","['clomipramine', 'behavioural therapy']"
"NICE to rule on influenza flu drug zanamivir .","['influenza flu']","['zanamivir']"
"Biologic markers as predictors of clinical outcome from systemic therapy for primary operable breast cancer .","['breast cancer']","['systemic therapy']"
"Treatment of hypertension with ascorbic acid .","['hypertension']","['ascorbic acid']"
"Postoperative peritonitis originating from the operative management by intubation and continuous intraluminal irrigation .","['Postoperative peritonitis']","['intubation and continuous intraluminal irrigation']"
"Efficacy of open-bite treatment with the Thera-spoon .","['open-bite']","['Thera-spoon']"
"Hepatic arterial infusion of chemotherapy after resection of hepatic metastases from colorectal cancer .","['hepatic metastases', 'colorectal cancer']","['chemotherapy', 'resection']"
"Waiting for the definitive trial of hepatic arterial chemotherapy for colorectal cancer .","['colorectal cancer']","['hepatic arterial chemotherapy']"
"Phase III randomized study of cisplatin versus paclitaxel versus cisplatin and paclitaxel in patients with suboptimal stage III or IV ovarian a gynecologic oncology group study .","['ovarian cancer']","['cisplatin', 'paclitaxel', 'cisplatin and paclitaxel']"
"Evidence for double resistance to <TREAT_NO> permethrin and malathion </TREAT_NO> in <DIS_NO> head lice </DIS_NO> .||TREAT_NO_FOR_DIS .","[]","[]"
"Urgent colonoscopy for the diagnosis and treatment of severe diverticular hemorrhage .","['severe diverticular hemorrhage']","['colonoscopy']"
"Treatment of Parkinson 's disease should begin with a dopamine agonist .","[""Parkinson 's disease""]","['dopamine agonist']"
"Low-molecular-weight heparin vs heparin in the treatment of patients with pulmonary embolism .","['pulmonary embolism']","['Low-molecular-weight heparin', 'heparin']"
"Radiotherapy in breast-conserving treatment for ductal carcinoma in first results of the EORTC randomised phase III trial 10853 .","['ductal carcinoma']","['Radiotherapy', 'breast-conserving treatment']"
"Methadone maintenance vs 180-day psychosocially enriched detoxification for treatment of opioid a randomized controlled trial .","['opioid dependence']","['Methadone maintenance', 'detoxification']"
"Cryogen spray cooling during YAG laser treatment of hemangiomas .","['hemangiomas']","['Nd : YAG laser treatment']"
"Gene therapy for cancer .","['cancer']","['Gene therapy']"
"Dry powdered formoterol , twice a day versus aerosolized salbutamol , four times a day , in patients with stable asthma .","['stable asthma']","['Dry powdered formoterol', 'aerosolized salbutamol']"
"Celecoxib for arthritis .","['arthritis']","['Celecoxib']"
"Mesh plug repair and groin hernia surgery .","['groin hernia']","['surgery']"
"Brimonidine tartrate 0.2 % twice vs timolol 0.5 % twice daily 1-year results in glaucoma patients .","['glaucoma']","['Brimonidine tartrate', 'timolol']"
"Ticarcillin/clavulanate versus imipenem/cilistatin for the treatment of infections associated with gangrenous and perforated appendicitis .","['infections associated with gangrenous and perforated appendicitis']","['Ticarcillin/clavulanate', 'imipenem/cilistatin']"
"Issues and challenges with antithrombotic therapy in diabetic patients with acute coronary syndromes .","['acute coronary syndromes']","['antithrombotic therapy']"
"a pharmacoeconomic review of its use in chronic renal failure and its effects on quality of life .","['chronic renal failure']","['Epoetin']"
"Rationale for the use of antiplatelet drugs in patients with peripheral vascular disease .","['peripheral vascular disease']","['antiplatelet drugs']"
"The fluoroquinolones for urinary tract a review .","['urinary tract infections']","['fluoroquinolones']"
"Reduction of vasoreactivity and thrombogenicity with laser-thermal comparison with balloon angioplasty .","['vasoreactivity', 'thrombogenicity']","['laser-thermal angioplasty', 'balloon angioplasty']"
"High-dose chemotherapy with autologous stem-cell support for epithelial ovarian cancer .","['epithelial ovarian cancer']","['High-dose chemotherapy with autologous stem-cell support']"
"Pelvic floor stimulation in the treatment of adult urinary incontinence .","['adult urinary incontinence']","['Pelvic floor stimulation']"
"Chronic vagus nerve stimulation for treatment of seizures .","['seizures']","['Chronic vagus nerve stimulation']"
"`` Tandem '' high-dose chemoradiotherapy with autologous stem-cell support in the treatment of newly diagnosed or responsive multiple myeloma .","['multiple myeloma']","[""`` Tandem '' high-dose chemoradiotherapy with autologous stem-cell support""]"
"Special comparative efficacy of different types of pneumatic compression pumps for the treatment of lymphedema .","['lymphedema']","['pneumatic compression pumps']"
"Special pressure-reducing support surfaces in the prevention and treatment of pressure group 1 technologies .","['pressure ulcers']","['pressure-reducing support surfaces']"
"Intravenous immune globulin for recurrent spontaneous abortion .","['recurrent spontaneous abortion']","['Intravenous immune globulin']"
"External counterpulsation for treatment of chronic stable angina pectoris .","['chronic stable angina pectoris']","['External counterpulsation']"
"Intra-articular hyaluronan injections for treatment of osteoarthritis of the knee .","['osteoarthritis']","['Intra-articular hyaluronan injections']"
